iter	Logloss
0	0.6925699225
1	0.6918960521
2	0.6911730863
3	0.6905098631
4	0.6898496509
5	0.6891865695
6	0.6885476822
7	0.6880606648
8	0.6874420114
9	0.6868056525
10	0.6862056935
11	0.6855958432
12	0.6849870047
13	0.6844522996
14	0.6838624408
15	0.683359141
16	0.6828229514
17	0.6823035705
18	0.6818177065
19	0.6813021952
20	0.6807644347
21	0.6802444486
22	0.6797136749
23	0.6792605878
24	0.6787612772
25	0.6782242842
26	0.6778099988
27	0.6773618944
28	0.6768627925
29	0.6764529186
30	0.6760160362
31	0.6755552998
32	0.675154248
33	0.6747894387
34	0.6743660939
35	0.6739752875
36	0.673624674
37	0.6732941037
38	0.6729530793
39	0.6725676472
40	0.6721681635
41	0.6718891872
42	0.6715602851
43	0.6711808987
44	0.6708026274
45	0.6704874972
46	0.6701800955
47	0.6698842117
48	0.6695246288
49	0.669198335
50	0.6688334292
51	0.6685241214
52	0.6682009376
53	0.6679411324
54	0.6676746004
55	0.6673694262
56	0.6670774896
57	0.6667800177
58	0.6665171816
59	0.6662479626
60	0.6660213125
61	0.6657131388
62	0.6654283046
63	0.6651657573
64	0.6648684514
65	0.6646264863
66	0.6643372512
67	0.6641310675
68	0.6639274976
69	0.6637269275
70	0.6635400206
71	0.6632854083
72	0.6630638526
73	0.6628684263
74	0.6626581374
75	0.6624569637
76	0.6622572699
77	0.6620783391
78	0.6618745921
79	0.6616772927
80	0.6614388954
81	0.6612689328
82	0.6610754568
83	0.660883665
84	0.6607042616
85	0.6604587601
86	0.6602808478
87	0.6600612597
88	0.659893254
89	0.6597025085
90	0.6595443785
91	0.6593423317
92	0.6591815463
93	0.6590001035
94	0.6588460796
95	0.6587047299
96	0.6585613443
97	0.6583839024
98	0.6582357914
99	0.6580217044
100	0.6578763232
101	0.6576987155
102	0.6575282899
103	0.6573687653
104	0.6572429447
105	0.6570847944
106	0.6569319706
107	0.6567690647
108	0.6566295015
109	0.6564553933
110	0.6563133149
111	0.6561162607
112	0.6559925725
113	0.6558665029
114	0.6557593604
115	0.6556066144
116	0.6554490552
117	0.655313958
118	0.6552089007
119	0.6550730502
120	0.6549084864
121	0.6547479177
122	0.6545869065
123	0.6544217527
124	0.654313118
125	0.6542207583
126	0.6541187114
127	0.6539746898
128	0.653834744
129	0.6537178278
130	0.6535987752
131	0.6535032845
132	0.6533869284
133	0.6532601277
134	0.6531373156
135	0.6530153529
136	0.6529037781
137	0.6528051325
138	0.6527178878
139	0.6526253779
140	0.6524949744
141	0.6523674195
142	0.6522643684
143	0.6521607213
144	0.6520770025
145	0.6519697405
146	0.6518570285
147	0.6517816944
148	0.651698542
149	0.6516132219
150	0.6515128352
151	0.6514207866
152	0.6513223192
153	0.6512331487
154	0.651119037
155	0.6510233416
156	0.650956141
157	0.650851364
158	0.6507451433
159	0.6506372862
160	0.6505450438
161	0.6504335659
162	0.6503519476
163	0.650283701
164	0.6501882705
165	0.6500514718
166	0.6499614864
167	0.6498802066
168	0.6498047776
169	0.6497170945
170	0.6496246295
171	0.6495487476
172	0.6494863832
173	0.6493930654
174	0.6493101879
175	0.6492201021
176	0.6491515102
177	0.6490573318
178	0.6489663719
179	0.6489190692
180	0.6488435548
181	0.6487732784
182	0.6486839235
183	0.648605818
184	0.6485557715
185	0.6484976923
186	0.648410174
187	0.6483333136
188	0.6482659882
189	0.6482240614
190	0.6481711751
191	0.6480761771
192	0.6480004547
193	0.6479248947
194	0.6478564825
195	0.6477980119
196	0.6477499762
197	0.6476546699
198	0.6475932568
199	0.6475370514
200	0.6474912531
201	0.6474259344
202	0.6473343296
203	0.6472942429
204	0.6471974011
205	0.6471408869
206	0.6470814881
207	0.6470204352
208	0.6469422323
209	0.6468958218
210	0.6468495782
211	0.6467771069
212	0.6467313238
213	0.6466837265
214	0.6466099242
215	0.6465555459
216	0.6464998206
217	0.6464176939
218	0.6463400892
219	0.6463039615
220	0.6462272121
221	0.6461508329
222	0.6461014729
223	0.6460272997
224	0.6459509611
225	0.6458813014
226	0.645842411
227	0.6457837803
228	0.6457323978
229	0.6456733218
230	0.6456145272
231	0.6455645574
232	0.645521797
233	0.6454530287
234	0.6453951523
235	0.6453236678
236	0.6452877418
237	0.6452534829
238	0.6451881149
239	0.6451129177
240	0.6450581279
241	0.6450256393
242	0.6449640906
243	0.6449168169
244	0.6448821218
245	0.6448334081
246	0.6447911205
247	0.6447467045
248	0.6446877286
249	0.6446164982
250	0.6445704423
251	0.6445161524
252	0.6444734658
253	0.6444277956
254	0.644355374
255	0.6443267604
256	0.6442929353
257	0.6442374676
258	0.6441998971
259	0.6441627492
260	0.6441237855
261	0.6440758937
262	0.6440111743
263	0.6439687928
264	0.6439111845
265	0.6438642149
266	0.6438064406
267	0.6437612098
268	0.6437025056
269	0.6436708358
270	0.6436314563
271	0.6435958719
272	0.643539202
273	0.6434644618
274	0.6434064985
275	0.6433616052
276	0.6433017628
277	0.6432702304
278	0.643226679
279	0.6431963897
280	0.6431625826
281	0.6431029231
282	0.6430405853
283	0.6429913582
284	0.6429505804
285	0.6429120657
286	0.642850132
287	0.6428066649
288	0.6427778096
289	0.6427331963
290	0.6426770616
291	0.6426257981
292	0.6425823809
293	0.6425134629
294	0.6424560948
295	0.6424168407
296	0.6423396714
297	0.6422761621
298	0.6422272651
299	0.6421680879
300	0.6421262876
301	0.6420821872
302	0.6420493101
303	0.6420065857
304	0.6419363652
305	0.6418773198
306	0.6418382147
307	0.6417820721
308	0.641726846
309	0.6416810049
310	0.6416382733
311	0.64159465
312	0.6415522845
313	0.6414860787
314	0.6414339879
315	0.6413871664
316	0.6413592124
317	0.6413029351
318	0.6412629173
319	0.6412224704
320	0.6411826398
321	0.6411502332
322	0.6411118231
323	0.641065583
324	0.6409938013
325	0.640957367
326	0.640925577
327	0.6408940935
328	0.6408561812
329	0.6408064487
330	0.6407658842
331	0.6407330358
332	0.6406955423
333	0.6406728586
334	0.640635157
335	0.6405696126
336	0.6405246653
337	0.6404678999
338	0.640425726
339	0.6404012692
340	0.6403647231
341	0.6403383276
342	0.6402967169
343	0.6401817083
344	0.6401477845
345	0.6401023506
346	0.6400596279
347	0.640013452
348	0.6399712805
349	0.6399301551
350	0.6398889402
351	0.639867579
352	0.6398402944
353	0.6397979044
354	0.6397539801
355	0.6397267749
356	0.639659629
357	0.6396142039
358	0.6395575748
359	0.6395257886
360	0.6394708173
361	0.6394204617
362	0.6393763546
363	0.6393043731
364	0.6392541148
365	0.6392086967
366	0.6391713668
367	0.6391094731
368	0.6390590081
369	0.6390226999
370	0.6389879419
371	0.6389274016
372	0.63888077
373	0.6388560273
374	0.6387981392
375	0.6387756796
376	0.6387322414
377	0.6387034064
378	0.6386381144
379	0.6385880411
380	0.63855039
381	0.6385324373
382	0.6384926126
383	0.6384593043
384	0.6384171644
385	0.6383757691
386	0.6383324656
387	0.6383169948
388	0.6382939829
389	0.6382535338
390	0.6382124626
391	0.6381806425
392	0.6381332793
393	0.6381112531
394	0.6380713107
395	0.6380482956
396	0.638018707
397	0.6379854682
398	0.6379511712
399	0.6379016411
400	0.6378450961
401	0.637808325
402	0.6377706233
403	0.6377269753
404	0.6376909224
405	0.6376414324
406	0.6376061857
407	0.6375620196
408	0.6375410644
409	0.637491631
410	0.6374581372
411	0.637419251
412	0.6373963843
413	0.6373522539
414	0.6373232693
415	0.6372862497
416	0.6372483064
417	0.6372233688
418	0.6371919889
419	0.6371497596
420	0.6371095529
421	0.6370726833
422	0.6370473522
423	0.6370259748
424	0.6369948099
425	0.6369666258
426	0.6369156386
427	0.6368883674
428	0.6368546506
429	0.6368234281
430	0.6367987237
431	0.6367561089
432	0.6367148039
433	0.6366857064
434	0.63663313
435	0.6365820076
436	0.6365482445
437	0.6365129703
438	0.6364761886
439	0.6364454404
440	0.6364278345
441	0.6363854276
442	0.6363537159
443	0.6363233084
444	0.636298361
445	0.6362631254
446	0.636239314
447	0.6362096883
448	0.6361704831
449	0.6361368214
450	0.6361298827
451	0.6361057715
452	0.6360619831
453	0.6360471528
454	0.6360237528
455	0.6359966329
456	0.635969382
457	0.6359022484
458	0.6358691279
459	0.635825564
460	0.6357911448
461	0.6357684081
462	0.6357461584
463	0.6357218303
464	0.6356922976
465	0.6356690874
466	0.6356558034
467	0.6356226696
468	0.635587028
469	0.6355614823
470	0.6355469143
471	0.6355180402
472	0.6354825758
473	0.6354499035
474	0.6354265556
475	0.6353909994
476	0.63534524
477	0.6352976469
478	0.6352652775
479	0.6352439057
480	0.6351949908
481	0.6351619133
482	0.6351216197
483	0.635103077
484	0.6350998947
485	0.6350805855
486	0.6350230994
487	0.634967717
488	0.6349353714
489	0.6349150097
490	0.6348759818
491	0.6348507588
492	0.6348232249
493	0.6347828961
494	0.6347519595
495	0.6347340622
496	0.6346907879
497	0.6346653668
498	0.6346185057
499	0.6345733327
500	0.6345219459
501	0.634495889
502	0.6344667416
503	0.6344317772
504	0.6344167975
505	0.6343880435
506	0.6343150108
507	0.634282153
508	0.6342448295
509	0.6342047175
510	0.6341801746
511	0.6341630469
512	0.6341355293
513	0.6340968689
514	0.6340678797
515	0.6340448545
516	0.6340010886
517	0.633975907
518	0.6339511707
519	0.633918599
520	0.633871524
521	0.6338323985
522	0.6337878789
523	0.6337150096
524	0.6336709292
525	0.6336412672
526	0.6335910621
527	0.633565058
528	0.6335370271
529	0.6335196823
530	0.6334656199
